"","Tree_ID","best_iteration","quality_0","quality_1","quality_2","quality_3","quality_4","quality_5","quality_6","quality_7","quality_8","quality_9","times_outlier_0","times_outlier_1","times_outlier_2","times_outlier_3","times_outlier_4","times_outlier_5","times_outlier_6","times_outlier_7","times_outlier_8","times_outlier_9"
"143","1558",3,NA,NA,NA,2,NA,NA,1.56753559366382,NA,NA,0.868904047908563,4,4,5,0,1,1,0,1,3,0
"144","156",9,NA,NA,NA,NA,1.25333510718693,1.25681960137424,NA,NA,NA,2,5,2,4,4,0,0,1,1,1,0
"145","1567",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,4,5,1,7,2,2,3,1,0
"146","1570a",8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,1,1,2,2,8,3,2,0,3
"147","1570b",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,1,5,0,1,5,20,9,11,1
"148","1575",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,9,3,1,3,6,3,6,0
"149","1576",0,2.09988670834668,1.01910171562503,NA,NA,1.86683858718724,1.88913969116289,NA,1.52963095753611,1.64403981365694,0.877636855570759,0,0,2,3,0,0,1,0,0,0
"150","158",7,NA,1,NA,NA,NA,2,NA,2.31912211668451,NA,NA,1,0,4,3,1,0,1,0,2,4
"151","1581a",4,NA,NA,0,2.19685399250826,2.95441896971229,2.3008232561654,NA,NA,NA,NA,9,1,0,0,0,0,1,1,1,6
"152","1581b",5,NA,NA,NA,NA,NA,2,NA,0.364307064685054,1.9996564751323,NA,3,2,1,1,9,0,2,0,0,3
"153","1587",5,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2,2,4,1,2,0,0,1,3,2
"154","1593a",3,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,4,2,0,0,3,2,1,2,3
"155","1593c",7,1,1.82446759253658,NA,NA,NA,NA,NA,1.99688427109357,NA,NA,0,0,4,3,2,2,2,0,2,3
"156","1593d",3,NA,NA,NA,2.83884498325572,NA,NA,0.142242493410512,NA,1.08749120510026,NA,16,6,1,0,2,1,0,1,0,1
"157","1596",7,NA,NA,NA,NA,NA,0.644086232754045,NA,2.02754445801255,1.49416291432567,NA,2,4,1,2,1,0,10,0,0,4
"158","1604",2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,11,4,0,7,2,4,0,2,1,2
"159","1610",4,NA,1.85484604480804,NA,NA,2.46310375120704,2.04351020468484,1.75026383638164,NA,NA,0.818449196636961,1,0,3,2,0,0,0,1,10,0
"160","162",3,NA,0.294889038768552,NA,2.53539884482078,NA,NA,1.87261088840061,NA,NA,NA,5,0,1,0,1,1,0,8,2,4
"161","1623",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,1,5,2,2,1
"162","1625",1,NA,2.34014746480212,NA,NA,NA,1.83844516997816,NA,1.39735771925,NA,0.210985226000406,2,0,2,1,5,0,2,0,2,0
"163","163",2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5,5,0,1,10,6,4,1,3,2
"164","1638",7,NA,1.35350711265806,NA,0,NA,NA,NA,2.1351608009209,NA,NA,3,0,4,0,1,1,11,0,1,4
"165","1657a",2,0.53287005720098,NA,2,1.19914131151957,NA,NA,1.73890278990202,NA,NA,NA,0,1,0,0,5,1,0,3,3,5
"166","1657b",4,NA,NA,NA,NA,2,NA,NA,NA,1.3014445169645,1.23467211704904,6,2,4,6,0,4,10,3,0,0
"167","1661",9,NA,NA,NA,NA,0.288681825721117,0.90040579785588,1.4983496752225,1.8502250651685,NA,2.28623284768116,1,3,1,3,0,0,0,0,5,0
"168","1670",8,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,4,0,4,4,1,9,4,0,2
"169","1679a",4,NA,1.72090145177776,1.12289850409571,NA,1.99934304618054,NA,1.91503820227055,NA,NA,NA,1,0,0,1,0,4,0,3,1,2
"170","1679b",5,NA,1.14119420955099,1.83125442680879,0.959336791443819,NA,2,NA,NA,NA,NA,9,0,0,0,1,0,6,1,6,1
"171","1685",6,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,3,1,1,1,1,0,0,1,4
"172","1708",2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,2,0,0,5,3,2,3,2,1
"173","1713",3,NA,1.93410502816885,NA,1.96867942218598,NA,NA,NA,1,NA,NA,1,0,8,0,3,4,1,0,1,4
"174","1720",2,NA,NA,2.34592989168037,1.08749005130897,NA,NA,1.38564407354343,1,NA,NA,1,2,0,0,1,1,0,0,1,3
"175","1730",4,NA,NA,1,NA,2,NA,NA,NA,NA,NA,4,3,0,1,0,1,1,2,3,3
"176","1731",8,1.52531739791325,NA,NA,0.748623226305887,0.862161479416949,NA,NA,1.67426770656027,2.08508639436828,1.56827075987391,0,2,10,0,0,7,1,0,0,0
